domain,variant,fusion_mode,beta,benchmark,metric,score,score_percent,sample_count,result_file
medical,aci_safe_combined_beta0.03,safe_combined,0.03,medmcqa,"acc,none",0.36289744202725316,36.289744202725316,4183,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T22-26-43.520047.json
medical,aci_safe_combined_beta0.03,safe_combined,0.03,mmlu_clinical_knowledge,"acc,none",0.4339622641509434,43.39622641509434,265,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T22-26-43.520047.json
medical,aci_safe_combined_beta0.03,safe_combined,0.03,mmlu_college_biology,"acc,none",0.4166666666666667,41.66666666666667,144,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T22-26-43.520047.json
medical,aci_safe_combined_beta0.03,safe_combined,0.03,mmlu_college_medicine,"acc,none",0.32947976878612717,32.947976878612714,173,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T22-26-43.520047.json
medical,aci_safe_combined_beta0.03,safe_combined,0.03,mmlu_medical_genetics,"acc,none",0.5,50.0,100,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T22-26-43.520047.json
medical,aci_safe_combined_beta0.03,safe_combined,0.03,mmlu_professional_medicine,"acc,none",0.40808823529411764,40.80882352941176,272,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T22-26-43.520047.json
thai,target,target,,xcopa_th,"acc,none",0.58,57.99999999999999,500,evaluation_results/aci_safe/thai/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3.2-typhoon2-1b-instruct/results_2026-07-21T22-40-43.753313.json
thai,target,target,,xquad_th,"f1,none",0.24927247928843863,24.92724792884386,1190,evaluation_results/aci_safe/thai/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3.2-typhoon2-1b-instruct/results_2026-07-21T22-40-43.753313.json
thai,target,target,,xnli_th,"acc,none",0.45180722891566266,45.18072289156627,2490,evaluation_results/aci_safe/thai/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3.2-typhoon2-1b-instruct/results_2026-07-21T22-40-43.753313.json
thai,aci_ffn_safe_beta0.01,ffn_safe,0.01,xcopa_th,"acc,none",0.582,58.199999999999996,500,evaluation_results/aci_safe/thai/aci_ffn_safe_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_ffn_safe_beta0.01__fused_model/results_2026-07-21T22-39-57.367915.json
thai,aci_ffn_safe_beta0.01,ffn_safe,0.01,xquad_th,"f1,none",0.24062953234823667,24.062953234823667,1190,evaluation_results/aci_safe/thai/aci_ffn_safe_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_ffn_safe_beta0.01__fused_model/results_2026-07-21T22-39-57.367915.json
thai,aci_ffn_safe_beta0.01,ffn_safe,0.01,xnli_th,"acc,none",0.45461847389558235,45.46184738955824,2490,evaluation_results/aci_safe/thai/aci_ffn_safe_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_ffn_safe_beta0.01__fused_model/results_2026-07-21T22-39-57.367915.json
thai,aci_attention_circuit_beta0.01,attention_circuit,0.01,xcopa_th,"acc,none",0.582,58.199999999999996,500,evaluation_results/aci_safe/thai/aci_attention_circuit_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_attention_circuit_beta0.01__fused_model/results_2026-07-21T22-53-03.856527.json
thai,aci_attention_circuit_beta0.01,attention_circuit,0.01,xquad_th,"f1,none",0.24851394711740027,24.851394711740028,1190,evaluation_results/aci_safe/thai/aci_attention_circuit_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_attention_circuit_beta0.01__fused_model/results_2026-07-21T22-53-03.856527.json
thai,aci_attention_circuit_beta0.01,attention_circuit,0.01,xnli_th,"acc,none",0.4506024096385542,45.06024096385542,2490,evaluation_results/aci_safe/thai/aci_attention_circuit_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_attention_circuit_beta0.01__fused_model/results_2026-07-21T22-53-03.856527.json
thai,aci_safe_combined_beta0.01,safe_combined,0.01,xcopa_th,"acc,none",0.582,58.199999999999996,500,evaluation_results/aci_safe/thai/aci_safe_combined_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_safe_combined_beta0.01__fused_model/results_2026-07-21T22-54-22.835639.json
thai,aci_safe_combined_beta0.01,safe_combined,0.01,xquad_th,"f1,none",0.24021464076428925,24.021464076428924,1190,evaluation_results/aci_safe/thai/aci_safe_combined_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_safe_combined_beta0.01__fused_model/results_2026-07-21T22-54-22.835639.json
thai,aci_safe_combined_beta0.01,safe_combined,0.01,xnli_th,"acc,none",0.45542168674698796,45.54216867469879,2490,evaluation_results/aci_safe/thai/aci_safe_combined_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_safe_combined_beta0.01__fused_model/results_2026-07-21T22-54-22.835639.json
malay,target,target,,MalayMMLU,"acc,none",0.41027547185396274,41.02754718539627,24213,evaluation_results/aci_safe/malay/target/primary/metrics.json
malay,aci_ffn_safe_beta0.1,ffn_safe,0.1,MalayMMLU,"acc,none",0.4559947135836121,45.59947135836121,24213,evaluation_results/aci_safe/malay/aci_ffn_safe_beta0.1/primary/metrics.json
malay,aci_attention_circuit_beta0.1,attention_circuit,0.1,MalayMMLU,"acc,none",0.40358485111303843,40.35848511130384,24213,evaluation_results/aci_safe/malay/aci_attention_circuit_beta0.1/primary/metrics.json
malay,aci_safe_combined_beta0.1,safe_combined,0.1,MalayMMLU,"acc,none",0.4535580060298187,45.35580060298187,24213,evaluation_results/aci_safe/malay/aci_safe_combined_beta0.1/primary/metrics.json
